customer_id,email,signup_date,channel,region
1170,user170@example.com,2023-02-12,email,South
1171,user171@example.com,2023-02-06,email,South
1172,user172@example.com,2023-11-05,email,North
1173,user173@example.com,2023-10-16,instagram,North
1174,user174@example.com,2023-10-06,website,North
1175,user175@example.com,2023-07-04,instagram,South
1176,user176@example.com,2023-10-14,email,South
1177,user177@example.com,2023-03-06,instagram,Central
1178,user178@example.com,2023-12-27,referral,Central
1179,user179@example.com,2023-07-20,referral,South
1180,user180@example.com,2024-01-11,email,South
1181,user181@example.com,2023-03-02,email,North
1182,user182@example.com,2023-07-18,email,South
1183,user183@example.com,2023-10-06,email,South
1184,user184@example.com,2023-07-18,instagram,North
1185,user185@example.com,2023-06-28,instagram,South
1186,user186@example.com,2023-03-08,email,South
1187,user187@example.com,2023-06-02,instagram,North
1188,user188@example.com,2023-04-06,instagram,South
1189,user189@example.com,2023-05-01,email,South
1190,user190@example.com,2023-10-01,referral,Central
1191,user191@example.com,2023-09-10,email,Central
1192,user192@example.com,2023-08-31,,Central
1193,user193@example.com,2023-05-25,email,South
1194,user194@example.com,2024-01-19,referral,Central
1195,user195@example.com,2023-02-05,,South
1196,user196@example.com,2023-05-18,,South
1197,user197@example.com,2023-02-17,referral,Central
1198,user198@example.com,2023-05-16,website,South
1199,user199@example.com,2024-01-20,website,South
